Grado;Graduado;N/E;SEPTIEMBRE 2013 - ENERO 2014;JURISPRUDENCIA;3;4;3;4;;;;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;7;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;ARQUITECTURA;1;1;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;2;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;AGROPECUARIA;3;;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;3;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;CIENCIASAMBIENTALESYECODESARROLLO;;2;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;ZOOTECNIA;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;COMUNICACIÓNSOCIAL;2;5;2;5;;;;;;;;;;;;;2;5;;;;;;;;;;;;;;;;;;;;;7;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;LICENCIATURAENDISEÑOYPRODUCCIÓNDEVESTUARIO;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;DISE�OGR�FICOYCONTROLDEPROCESOS;5;1;5;1;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;6;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;DISE�ODEPRODUCTOSYCONTROLDEPROCESOS;;2;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;ECOTURISMO;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;HOTELER�A;1;4;1;4;;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;5;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;TURISMO;4;1;4;1;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;5;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;INGENIER�AENSISTEMAS;4;;4;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;4;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;ADMINISTRACI�NDEEMPRESAS;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;CONTABILIDADSUPERIOR;8;13;8;13;;;;;;;;;;;;;8;13;;;;;;;;;;;;;;;;;;;;;21;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;COMERCIOINTERNACIONAL;5;9;4;9;1;;;;;;;;;;;;5;9;;;;;;;;;;;;;;;;;;;;;14;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;INGENIERIACOMERCIALADMINISTRADOR;3;11;3;10;;1;;;;;;;;;;;3;11;;;;;;;;;;;;;;;;;;;;;14;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;INGENIERIACOMERCIALENFASISFINANZAS;6;10;6;10;;;;;;;;;;;;;6;10;;;;;;;;;;;;;;;;;;;;;16;1
Grado;Graduado;N/E;ABRIL 2014 - AGOSTO 2014;JURISPRUDENCIA;2;3;2;3;;;;;;;;;;;;;2;3;;;;;;;;;;;;;;;;;;;;;5;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;ARQUITECTURA;4;5;4;5;;;;;;;;;;;;;4;5;;;;;;;;;;;;;;;;;;;;;9;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;AGROPECUARIA;2;2;3;;;1;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;4;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;CIENCIASAMBIENTALESYECODESARROLLO;3;4;3;4;;;;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;7;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;COMUNICACIÓNSOCIAL;4;3;4;3;;;;;;;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;7;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;LICENCIATURAENDISEÑOYPRODUCCIÓNDEVESTUARIO;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;DISE�OGR�FICOYCONTROLDEPROCESOS;1;2;1;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;3;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;DISE�ODEPRODUCTOSYCONTROLDEPROCESOS;2;1;2;1;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;3;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;CIENCIASDELAEDUCACI�N;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;HOTELER�A;1;7;1;6;;;;1;;;;;;;;;1;7;;;;;;;;;;;;;;;;;;;;;8;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;GASTRONOM�A;1;2;1;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;3;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;TURISMO;1;5;;5;1;;;;;;;;;;;;1;5;;;;;;;;;;;;;;;;;;;;;6;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;INGENIER�AENSISTEMAS;8;2;8;2;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;;;;;;;10;1
Grado;Graduado;N/E;OCTUBRE 2014 - FEBRERO 2015;INGENIER�AINFORM�TICAENREDESDEINFORMACI�N;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1
